Iteration,Area,BestArea,Temperature
1000,204,112.5,298.504
2000,125.5,112.5,297.015
3000,162,107,295.534
4000,156,107,294.06
5000,158,96.5,292.593
6000,125,96.5,291.134
7000,197,96.5,289.682
8000,192.5,96.5,288.237
9000,152.5,96.5,286.799
10000,174.5,96.5,285.369
11000,164.5,96.5,283.946
12000,167,96.5,282.529
13000,156.5,96.5,281.12
14000,188,96.5,279.718
15000,178,96.5,278.323
16000,155,96.5,276.935
17000,210.5,96.5,275.554
18000,146,96.5,274.179
19000,199.5,96.5,272.812
20000,144,96.5,271.451
21000,180,96.5,270.097
22000,152.5,96.5,268.75
23000,176.5,96.5,267.41
24000,166,96.5,266.076
25000,166,96.5,264.749
26000,190.5,96.5,263.429
27000,178,90,262.115
28000,205,90,260.807
29000,168,90,259.507
30000,184.5,90,258.212
31000,179.5,90,256.924
32000,177,90,255.643
33000,164.5,90,254.368
34000,157.5,90,253.099
35000,138,90,251.837
36000,216.5,90,250.581
37000,157.5,90,249.331
38000,187.5,90,248.088
39000,196,90,246.85
40000,168,90,245.619
41000,195,90,244.394
42000,190.5,90,243.175
43000,197.5,90,241.962
44000,199,90,240.756
45000,214,90,239.555
46000,169.5,90,238.36
47000,162.5,90,237.171
48000,170.5,90,235.988
49000,175.5,90,234.811
50000,172,90,233.64
51000,193.5,90,232.475
52000,165.5,90,231.315
53000,143,90,230.162
54000,182.5,90,229.014
55000,172,90,227.871
56000,202.5,90,226.735
57000,178,90,225.604
58000,162.5,90,224.479
59000,115,90,223.359
60000,144.5,90,222.245
61000,174,90,221.137
62000,179,90,220.034
63000,206,90,218.936
64000,170,90,217.845
65000,181.5,90,216.758
66000,158.5,90,215.677
67000,200.5,90,214.601
68000,150.5,90,213.531
69000,143.5,90,212.466
70000,164.5,90,211.406
71000,181.5,90,210.352
72000,176,90,209.303
73000,147.5,90,208.259
74000,181,90,207.22
75000,144.5,90,206.187
76000,204.5,90,205.158
77000,186.5,90,204.135
78000,167.5,90,203.117
79000,194.5,90,202.104
80000,165,90,201.096
81000,168,90,200.093
82000,172.5,90,199.095
83000,128,90,198.102
84000,165,90,197.114
85000,180,90,196.131
86000,181,90,195.153
87000,176.5,90,194.179
88000,154.5,90,193.211
89000,177,90,192.247
90000,164,90,191.288
91000,128.5,90,190.334
92000,178.5,90,189.385
93000,201,90,188.44
94000,146,90,187.5
95000,137,90,186.565
96000,162,90,185.635
97000,191,90,184.709
98000,176,90,183.788
99000,193,90,182.871
100000,173.5,90,181.959
101000,110,90,181.051
102000,137.5,90,180.148
103000,128.5,90,179.25
104000,187,90,178.356
105000,167,90,177.466
106000,193.5,90,176.581
107000,211.5,90,175.701
108000,161,90,174.824
109000,199,90,173.952
110000,133,90,173.085
111000,186.5,90,172.221
112000,141,90,171.362
113000,146,90,170.508
114000,171,90,169.657
115000,169.5,90,168.811
116000,159,90,167.969
117000,158,90,167.132
118000,184.5,90,166.298
119000,149.5,90,165.469
120000,193.5,90,164.643
121000,209.5,90,163.822
122000,162.5,87,163.005
123000,181.5,87,162.192
124000,134.5,87,161.383
125000,184,87,160.578
126000,158.5,87,159.777
127000,183.5,87,158.98
128000,142.5,87,158.187
129000,210.5,87,157.399
130000,183.5,87,156.613
131000,162,87,155.832
132000,174.5,87,155.055
133000,157.5,87,154.282
134000,121,87,153.512
135000,211,87,152.747
136000,213,87,151.985
137000,180.5,87,151.227
138000,168,87,150.473
139000,128.5,87,149.722
140000,153.5,87,148.975
141000,173,87,148.232
142000,193.5,87,147.493
143000,173,87,146.757
144000,234.5,87,146.025
145000,182,87,145.297
146000,154.5,87,144.572
147000,227,87,143.851
148000,145,87,143.134
149000,221,87,142.42
150000,154,87,141.71
151000,170.5,87,141.003
152000,142,87,140.3
153000,179.5,87,139.6
154000,180.5,87,138.904
155000,149,87,138.211
156000,161.5,87,137.522
157000,140,87,136.836
